as_name,Count
Kakharov Orinbassar Maratuly,12
AS Number for CHINANET jiangsu province backbone,12
CMC Telecom Infrastructure Company,12
Techtel LMDS Comunicaciones Interactivas S.A.,12
Bell Canada,12
Sunrise GmbH,12
Kaopu Cloud HK Limited,12
"Luoyang, Henan Province, P.R.China.",12
Shandong Mobile Communication Company Limited,12
Fastweb SpA,12
MTS PJSC,12
Magyar Telekom plc.,12
TELUS Communications Inc.,12
Cox Communications Inc.,12
Pakistan Telecommunication Company Limited,12
Vietnam Online Network Solution Joint Stock Compnay,11
SURF B.V.,11
VIPTURBO COMÉRCIO & SERVIÇOS DE INFORMÁTICA LTDA,11
SMILESERV,11
QuadraNet Enterprises LLC,11
BEST INTERNET SOLUTION XK,11
Turunc Smart Bilgisayar Teknoloji Ve Dis Ticaret Limited Sirketi,11
Núcleo S.A.,11
Hosting Ukraine LTD,11
Proximus NV,11
AXS Bolivia S. A.,11
PT Aplikanusa Lintasarta,11
TOTAL PLAY TELECOMUNICACIONES SA DE CV,11
Vodafone Italia S.p.A.,11
Qinghai Telecom,11
SAKURA Internet Inc.,11
PE Skurykhin Mukola Volodumurovuch,11
"Oliver Horscht is trading as ""SYNLINQ""",11
CHINANET Nanjing Jishan IDC network,11
Societe Francaise Du Radiotelephone - SFR SA,11
"The Communication Authoity of Thailand, CAT",11
"JSC ""Ufanet""",11
Iran Telecommunication Company PJS,11
CHINATELECOM Jiangsu Suqian IDC network,10
"ChangLian Network Technology Co., Limited",10
LEAPSWITCH NETWORKS PRIVATE LIMITED,10
"JSC ""Ukrtelecom""",10
AROSSCLOUD INC.,10
A1 Telekom Austria AG,10
Palestine Telecommunications Company (PALTEL),10
Alsycon B.V.,10
NTT-ME Corporation,10
Telenor Norge AS,10
JSC IOT,10
ZAM LTDA.,10
HOSTING DUNYAM BILISIM TEKNOLOJILERI TICARET LIMITED SIRKETI,10
BitCommand LLC,10
TOT Public Company Limited,10
Cloudie Limited,10
Hostinger International Limited,10
Vaishnavi Online Internet Services Pvt. Ltd.,9
BKHOST TECHNOLOGY VIETNAM JOINT STOCK COMPANY,9
TIM S/A,9
British Telecommunications PLC,9
TTNET-MY,9
Telecentro S.A.,9
JSC RTComm.RU,9
Gujarat Telelink Pvt Ltd,9
True Online,9
Cablevision Systems Corp.,9
Turk Telekomunikasyon Anonim Sirketi,9
Pishgaman Toseeh Ertebatat Company (Private Joint Stock),9
UFINET PANAMA S.A.,9
Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,9
"Shanghai Blue Cloud Technology Co.,Ltd",9
China Unicom Guangdong IP network,9
I-SERVERS LTD,9
Telecom Algeria,9
Baykov Ilya Sergeevich,9
AMX Argentina S.A.,9
