asn,Count
AS200217,4
AS137539,4
AS27669,4
AS39501,4
AS213230,4
AS399045,4
AS151858,4
AS139988,4
AS25106,4
AS33765,4
AS42739,4
AS58945,4
AS131965,4
AS134904,4
AS139009,4
AS20057,4
AS135987,4
AS16629,4
AS45773,4
AS7992,4
AS56042,4
AS201814,4
AS51431,4
AS37061,4
AS24835,4
AS28683,4
AS210083,4
AS9371,4
AS50580,4
AS51026,4
AS9534,4
AS20661,4
AS28201,4
AS41733,4
AS11878,4
AS18222,4
AS24550,4
AS133982,4
AS399077,4
AS24631,4
AS131366,4
AS4773,4
AS20746,4
AS33915,4
AS56300,4
AS10103,4
AS27651,4
AS137698,4
AS207713,4
AS269783,4
AS394695,4
AS20857,4
AS24863,4
AS58772,4
AS138195,4
AS396356,4
AS7545,4
AS17623,4
AS35805,4
AS48287,4
AS134365,4
AS401116,4
AS4618,4
AS5089,4
AS38264,4
AS397031,4
AS17625,4
AS10299,4
AS11351,4
AS14259,4
AS56048,4
AS150862,4
AS11492,4
AS12735,4
AS42337,4
AS51847,4
AS63737,4
AS208046,4
AS214822,4
AS399629,4
AS8359,4
AS9260,4
AS12810,4
AS14117,4
AS26383,4
AS33588,4
AS37705,4
AS38136,4
AS51659,4
AS8412,4
AS38513,4
AS43581,4
AS213807,4
AS9583,4
AS24955,4
AS29119,4
AS49635,4
AS207569,4
AS215590,4
AS133800,4
AS268581,4
AS205090,4
AS27720,3
AS36680,3
AS42682,3
AS396073,3
AS24496,3
AS139029,3
AS139293,3
AS141286,3
AS147287,3
AS200406,3
AS205820,3
AS206092,3
AS47764,3
AS262318,3
AS268350,3
AS270515,3
AS12824,3
AS13285,3
AS21491,3
AS152705,3
AS39287,3
AS24139,3
AS133770,3
AS141124,3
AS262725,3
AS19084,3
AS28584,3
AS45410,3
AS58405,3
AS139282,3
AS211724,3
AS37182,3
AS140819,3
AS9908,3
AS13579,3
AS31972,3
AS133719,3
AS146988,3
AS266841,3
AS34989,3
AS38841,3
AS131386,3
AS9038,3
AS9050,3
AS36925,3
AS43162,3
AS45996,3
AS140096,3
AS212063,3
AS17488,3
AS17665,3
AS29066,3
AS31200,3
AS50928,3
AS133643,3
AS134926,3
AS140293,3
AS146943,3
AS203000,3
AS266673,3
AS4230,3
AS4621,3
AS4780,3
AS35549,3
AS37284,3
AS55666,3
AS135222,3
AS139220,3
AS8612,3
AS18109,3
AS21351,3
AS131706,3
AS12083,3
AS24122,3
AS33182,3
AS35372,3
AS39927,3
AS63859,3
AS4764,3
AS49037,3
AS58898,3
AS198831,3
AS262459,3
AS327687,3
AS17917,3
AS37282,3
AS56322,3
AS60558,3
AS63888,3
AS133695,3
